order,pid,ms_sub_class,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,sale_type,sale_condition,sale_price,house_age,porch_x_deck,total_bathrooms,sqft_above_ground
1272,535453040,20,RL,80,8000,Pave,Reg,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,BrkFace,MetalSd,None,TA,TA,CBlock,TA,TA,No,BLQ,Rec,1027,GasA,TA,Y,SBrkr,3,1,TA,6,Typ,0,none,Attchd,Unf,1,299,TA,TA,Y,WD,Normal,125900,46,0,1.5,1027
1522,909250040,70,RL,51,9842,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,5,6,Gable,CompShg,MetalSd,Wd Sdng,None,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,612,GasA,Ex,Y,SBrkr,4,1,TA,8,Typ,0,none,BuiltIn,RFn,2,621,TA,TA,Y,WD,Normal,189000,87,484,3.5,2601
951,914475010,85,RL,75,9750,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,6,6,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,Av,ALQ,Unf,902,GasA,Ex,Y,SBrkr,2,1,TA,5,Typ,1,TA,Attchd,Unf,1,351,TA,TA,Y,WD,Normal,156450,32,319,2,926
2160,907405130,20,RL,65,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1337,GasA,Ex,Y,SBrkr,3,1,Gd,6,Typ,0,none,Attchd,RFn,2,531,TA,TA,Y,WD,Normal,185000,4,39,3,1337
2518,533252020,20,RL,NA,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,6,6,Gable,CompShg,Plywood,Plywood,None,Gd,TA,CBlock,Gd,TA,No,ALQ,Unf,1208,GasA,TA,Y,SBrkr,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,546,TA,TA,Y,WD,Normal,165000,29,240,2.5,1208
1989,902207150,30,RM,60,8520,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,TA,CBlock,TA,TA,No,Unf,Unf,968,GasA,TA,Y,SBrkr,2,1,TA,5,Typ,0,none,Detchd,Unf,2,480,Fa,TA,N,WD,Normal,100000,84,184,1,968
513,528441020,60,RL,75,9675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,1113,GasA,Ex,Y,SBrkr,3,1,Gd,8,Typ,1,Gd,Attchd,RFn,2,689,TA,TA,Y,WD,Normal,253000,4,48,2.5,1971
800,906201021,80,RL,74,10778,Pave,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,SLvl,7,6,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,PConc,Gd,TA,No,GLQ,ALQ,1054,GasA,Gd,Y,SBrkr,1,1,Gd,4,Typ,0,none,Attchd,Unf,2,462,TA,TA,Y,WD,Normal,162000,19,150,2.5,1061
2497,532378160,20,RL,65,6993,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,912,GasA,TA,Y,SBrkr,3,1,TA,6,Typ,1,TA,Attchd,Unf,1,288,TA,TA,Y,WD,Normal,135000,45,0,1,1236
2426,528228545,120,RL,43,3010,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1248,GasA,Ex,Y,SBrkr,2,1,Gd,5,Typ,0,none,Attchd,Fin,2,438,TA,TA,Y,New,Partial,167240,1,108,2,1248
2717,905107300,80,RL,NA,7176,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,6,6,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,Gd,Gd,GLQ,Unf,960,GasA,Fa,Y,SBrkr,3,1,TA,6,Typ,1,Fa,Detchd,Unf,2,616,TA,TA,Y,WD,Normal,160500,28,311,2,1040
1548,910202100,30,RM,NA,5890,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,6,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,Gd,Gd,BrkTil,TA,TA,Av,ALQ,Unf,816,GasA,Ex,Y,SBrkr,2,1,TA,5,Typ,0,none,Detchd,Unf,1,432,TA,TA,Y,WD,Normal,120500,78,96,1,816
1999,902332030,190,C (all),60,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,Hip,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,Fa,Mn,Rec,Unf,1214,GasW,Ex,N,SBrkr,4,2,TA,9,Typ,1,Gd,Detchd,Unf,2,506,TA,TA,Y,WD,Normal,133900,97,99,2.5,2291
828,906380210,20,RL,64,6762,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1282,GasA,Ex,Y,SBrkr,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,662,TA,TA,Y,WD,Normal,200000,2,168,3,1290
428,528108040,60,RL,95,12350,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,1365,GasA,Ex,Y,SBrkr,3,1,Ex,8,Typ,1,Gd,Attchd,RFn,3,864,TA,TA,Y,New,Partial,398800,0,197,3.5,2670
1990,902300020,70,RM,NA,10337,Pave,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,9,Hip,CompShg,VinylSd,VinylSd,None,Gd,Gd,BrkTil,TA,TA,No,Unf,Unf,725,GasA,Ex,N,SBrkr,3,1,Gd,7,Typ,0,none,Detchd,Unf,2,816,TA,TA,Y,WD,Normal,184900,97,0,2.5,1772
359,527163130,60,RL,NA,8803,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,707,GasA,Gd,Y,SBrkr,3,1,Gd,7,Typ,1,TA,Attchd,Fin,2,409,TA,TA,Y,WD,Normal,181316,15,46,3.5,1516
2198,909250160,45,RL,55,10594,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Unf,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,768,Grav,Fa,N,SBrkr,2,1,TA,5,Typ,0,none,Detchd,Unf,1,200,Po,Po,Y,WD,Normal,96500,81,112,1,789
988,924100040,20,RL,NA,9819,Pave,IR1,Lvl,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,ImStucc,None,TA,TA,PConc,TA,TA,Gd,ALQ,Unf,1567,GasA,TA,Y,SBrkr,2,1,Gd,5,Typ,2,TA,Attchd,RFn,2,714,TA,TA,Y,WD,Normal,196000,32,296,3,1567
1131,528490080,60,FV,64,8791,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Rec,Unf,864,GasA,Ex,Y,SBrkr,3,1,Gd,7,Typ,0,none,Attchd,RFn,2,673,TA,TA,Y,WD,Normal,207500,5,272,2.5,1728
276,908102130,90,RL,75,9825,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,Hip,CompShg,AsphShn,AsphShn,None,TA,TA,CBlock,none,none,none,none,none,0,GasA,TA,N,SBrkr,4,2,TA,8,Typ,0,none,none,none,0,0,none,none,Y,WD,Normal,100000,45,0,2,1664
1598,923225370,180,RM,21,1596,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SLvl,4,6,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,Gd,TA,Gd,GLQ,Unf,462,GasA,TA,Y,SBrkr,1,1,TA,4,Typ,1,Po,BuiltIn,RFn,1,297,TA,TA,Y,WD,Normal,94900,35,221,2,988
1608,923400040,50,RL,75,12508,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,6,7,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Mn,ALQ,Unf,983,GasA,Ex,Y,SBrkr,4,1,TA,7,Mod,0,none,Attchd,Unf,1,423,TA,TA,Y,WD,Normal,160000,68,401,3,1750
2500,533110130,60,RL,121,16059,Pave,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,Gd,TA,CBlock,Gd,TA,No,Unf,Unf,1288,GasA,Ex,Y,SBrkr,4,1,Gd,9,Typ,1,TA,Attchd,Unf,2,462,TA,TA,Y,WD,Normal,260000,15,209,2.5,2417
797,905478030,50,RL,60,11409,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,4,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,768,GasA,Gd,Y,SBrkr,3,1,TA,8,Min2,1,Gd,Attchd,Unf,1,281,TA,TA,Y,WD,Normal,131000,60,160,1.5,1716
194,903225150,30,RM,50,5000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,7,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Rec,Unf,765,GasA,TA,N,FuseF,2,1,Gd,4,Typ,0,none,Detchd,Unf,1,200,Fa,TA,P,WD,Normal,87000,85,176,2,765
2632,535478010,85,RL,69,10205,Pave,IR1,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,Norm,1Fam,SFoyer,5,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Av,BLQ,Unf,925,GasA,TA,Y,SBrkr,3,1,TA,6,Typ,0,none,Attchd,Unf,1,300,TA,TA,Y,WD,Normal,134500,44,222,2,999
493,528292070,60,RL,NA,8755,Pave,IR1,Lvl,AllPub,FR2,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,992,GasA,Ex,Y,SBrkr,3,1,Gd,8,Typ,1,TA,BuiltIn,RFn,2,390,TA,TA,Y,WD,Normal,214000,10,168,3.5,2060
2304,923400150,20,RL,63,10712,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,Mn,BLQ,Unf,974,GasA,TA,Y,SBrkr,3,1,TA,5,Typ,0,none,none,none,0,0,none,none,Y,Oth,Abnorml,93500,16,28,1,974
234,905352140,60,RL,NA,17082,Pave,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,Av,ALQ,Unf,1117,GasA,Ex,Y,SBrkr,4,1,Gd,8,Typ,1,TA,Attchd,Fin,2,522,TA,TA,Y,WD,Normal,230000,32,440,3.5,1981
935,909451140,160,RM,24,1612,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blueste,Norm,Norm,Twnhs,2Story,6,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,No,Unf,Unf,561,GasA,TA,Y,SBrkr,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,462,TA,TA,Y,WD,Normal,121000,29,154,1.5,1229
2003,902427040,50,RM,52,9439,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,912,GasA,Gd,Y,FuseA,2,1,TA,6,Typ,0,none,Detchd,Unf,1,160,Fa,Fa,Y,WD,Normal,87000,77,192,1,1248
1080,528190010,120,RM,59,8198,Pave,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1358,GasA,Ex,Y,SBrkr,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,484,TA,TA,Y,WD,Normal,207000,4,222,3,1358
2430,528228580,120,RL,53,4045,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1356,GasA,Ex,Y,SBrkr,2,1,Gd,6,Typ,1,Gd,Attchd,Fin,3,648,TA,TA,Y,New,Partial,246578,0,181,3,1500
501,528363050,20,RL,NA,10750,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,Gd,TA,PConc,Gd,TA,Av,BLQ,GLQ,2024,GasA,Ex,Y,SBrkr,3,1,Gd,7,Typ,2,Gd,Attchd,Fin,3,815,TA,TA,Y,WD,Normal,315000,15,238,3,2063
1330,903204095,40,RM,50,9100,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,Feedr,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,742,GasA,TA,Y,FuseA,2,1,TA,4,Typ,0,none,Detchd,Unf,1,308,TA,TA,P,WD,Normal,79500,78,0,1,779
2473,531375060,20,RL,63,13072,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,1131,GasA,Ex,Y,SBrkr,3,1,Gd,6,Typ,0,none,none,none,0,0,none,none,Y,New,Partial,132000,1,39,1.5,1131
1385,905108170,85,RL,NA,7400,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,SFoyer,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,LwQ,ALQ,1060,GasA,TA,Y,SBrkr,2,1,TA,5,Typ,0,none,Attchd,Unf,2,506,TA,TA,Y,WD,Normal,152000,24,178,2,1126
2920,923228260,160,RM,21,1936,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,546,GasA,Gd,Y,SBrkr,3,1,TA,5,Typ,0,none,none,none,0,0,none,none,Y,WD,Normal,90500,36,0,1.5,1092
2051,905101070,20,RL,62,14299,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,3,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,LwQ,1005,GasA,TA,Y,SBrkr,3,1,TA,5,Typ,0,none,Detchd,Unf,2,440,TA,TA,N,WD,Normal,115400,43,0,2,1005
1994,902302150,190,RM,85,13600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,662,GasA,TA,N,SBrkr,5,2,TA,10,Min2,0,none,Detchd,Unf,2,560,TA,TA,Y,WD,Normal,90000,107,57,2,2337
417,527455080,160,RL,24,2364,Pave,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,2Story,6,5,Gable,CompShg,Plywood,Brk Cmn,None,Gd,TA,CBlock,Gd,TA,No,ALQ,Unf,855,GasA,TA,Y,SBrkr,3,1,TA,6,Typ,1,TA,Attchd,Fin,2,440,TA,TA,Y,WD,Normal,138000,31,147,2.5,1456
2836,908227030,50,RL,62,8707,Pave,Reg,Lvl,AllPub,FR2,Gtl,Edwards,Feedr,Norm,1Fam,1.5Fin,4,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1093,GasA,TA,N,FuseF,4,1,TA,9,Min2,0,none,Attchd,Unf,1,288,Fa,TA,Y,WD,AdjLand,107000,82,56,1.5,1669
1242,535178060,20,RL,72,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,"NAmes",Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,No,LwQ,Unf,1196,GasA,Gd,Y,FuseA,2,1,TA,6,Typ,1,Gd,Attchd,RFn,1,297,TA,TA,Y,WD,Normal,139000,52,44,2,1196
1936,535325090,20,RL,71,8540,Pave,Reg,Lvl,AllPub,Corner,Gtl,"NAmes",Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,Rec,ALQ,925,GasA,TA,Y,SBrkr,3,1,Gd,5,Typ,0,none,Detchd,Unf,1,252,TA,TA,Y,WD,Normal,127000,51,152,2,925
2647,902111010,30,RM,50,5633,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,MetalSd,Stucco,None,TA,TA,BrkTil,TA,Fa,No,Unf,Unf,844,GasA,TA,Y,SBrkr,2,1,TA,5,Typ,0,none,Detchd,Unf,1,216,TA,TA,N,WD,Normal,111500,81,254,1,844
351,527131030,120,RL,40,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1501,GasA,Ex,Y,SBrkr,2,1,Ex,5,Typ,1,Ex,Attchd,Fin,2,499,TA,TA,Y,WD,Normal,278000,9,271,3,1659
1516,909101180,190,RL,55,5687,Pave,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,2fmCon,2Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,Fa,PConc,TA,Fa,No,Rec,Unf,780,GasA,Ex,N,SBrkr,6,1,Fa,9,Typ,0,none,none,none,0,0,none,none,N,WD,Normal,135900,96,184,3,1716
901,908275110,20,RL,70,11767,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,1150,GasA,Ex,Y,SBrkr,2,1,TA,7,Min1,1,TA,Attchd,Unf,1,313,TA,TA,Y,WD,Normal,103500,53,0,1,1560
1578,916386080,80,RL,73,9735,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,384,GasA,Gd,Y,SBrkr,3,1,Gd,7,Typ,0,none,BuiltIn,Fin,2,400,TA,TA,Y,WD,Normal,167500,2,100,2.5,1394
1730,528218050,60,RL,65,10237,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,783,GasA,Ex,Y,SBrkr,3,1,Gd,8,Typ,1,Gd,Attchd,Fin,2,393,TA,TA,Y,New,Partial,178900,2,72,2.5,1484
2392,528138030,60,RL,85,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,1175,GasA,Ex,Y,SBrkr,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,736,TA,TA,Y,New,Partial,345000,1,168,4,2324
536,531363050,20,RL,63,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,1158,GasA,Ex,Y,SBrkr,3,1,Gd,5,Typ,0,none,none,none,0,0,none,none,Y,WD,Normal,143500,5,50,1.5,1158
1489,908102260,20,RL,75,9937,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,Gd,TA,CBlock,TA,TA,No,BLQ,LwQ,1256,GasA,Gd,Y,SBrkr,3,1,TA,6,Typ,0,none,Attchd,Fin,1,276,TA,TA,Y,WD,Normal,147500,43,593,2.5,1256
1484,907425030,120,RM,NA,4438,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,848,GasA,Ex,Y,SBrkr,1,1,Gd,3,Typ,1,Gd,Attchd,RFn,2,420,TA,TA,Y,WD,Normal,149000,4,149,2,848
